title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
华龙美晟 ,3室2厅,100.53平米,东南,精装,低楼层(共12层) ,板塔结合,,828,"82,364元/平",永定门,155人关注,8个月以前发布
普渡寺前巷 ,3室1厅,91.69平米,南 北,简装,底层(共1层) ,板楼,,1550,"169,048元/平",东单,8人关注,20天以前发布
富莱茵花园 ,3室1厅,91.08平米,东 南 北,简装,低楼层(共21层) ,塔楼,,599,"65,767元/平",永定门,15人关注,3个月以前发布
景泰西里西区 ,2室1厅,90.7平米,东 西,精装,11层 ,板塔结合,,645,"71,114元/平",永定门,8人关注,9个月以前发布
安外西河沿路2号院 ,2室1厅,92.17平米,南,精装,低楼层(共8层) ,板塔结合,,1220,"132,365元/平",安定门,13人关注,3个月以前发布
西营房 ,3室1厅,99.01平米,南,简装,低楼层(共16层) ,塔楼,,1000,"101,000元/平",安定门,13人关注,1个月以前发布
西营房 ,3室1厅,102.41平米,东 南 北,精装,低楼层(共19层) ,塔楼,,899,"87,785元/平",安定门,63人关注,3个月以前发布
安外西河沿路1号院 ,3室1厅,104.98平米,南 北,毛坯,中楼层(共21层) ,板塔结合,,1490,"141,932元/平",安定门,5人关注,24天以前发布
天天家园 ,2室1厅,100.82平米,西,简装,11层 ,塔楼,,720,"71,415元/平",永定门,8人关注,1个月以前发布
华龙美晟 ,3室2厅,108.46平米,南 北,其他,中楼层(共12层) ,板塔结合,,899,"82,888元/平",永定门,5人关注,5天以前发布
雍和家园一期 ,3室2厅,158.28平米,西南,简装,低楼层(共16层),2001年,板塔结合,1650,"104,246元/平",和平里,56人关注,一年前发布
雍和家园一期 ,3室1厅,179.48平米,南 北,精装,高楼层(共16层),2001年,塔楼,2080,"115,891元/平",和平里,65人关注,5个月以前发布
青年湖北里 ,3室1厅,98.71平米,南 北,简装,低楼层(共10层) ,板塔结合,,960,"97,255元/平",安定门,19人关注,1个月以前发布
望坛新苑 ,3室1厅,102.8平米,南,其他,11层 ,板楼,,950,"92,413元/平",永定门,13人关注,28天以前发布
东中街 ,3室2厅,94.11平米,南 北,简装,地下室(共6层) ,板楼,,490,"52,067元/平",东直门,2人关注,1个月以前发布
和平新城一期 ,3室1厅,152.14平米,东南,简装,中楼层(共19层) ,板塔结合,,2140,"140,660元/平",和平里,64人关注,一年前发布
